"","binomial","iucn.no","family","country","rule_of_law","deathrate","hdi","gdp","geog.range","fr.in.country","num.countries"
"269","microcebus gerpi",5,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,20794042.0616938,1,0
"270","microcebus griseorufus",1,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,36116101537.1769,1,0
"271","microcebus jollyae",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,157606175.743163,1,0
"272","microcebus lehilahytsara",3,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,2988217906.20791,1,0
"273","microcebus macarthurii",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,675496168.169957,1,0
"274","microcebus mamiratra",5,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,59567827.9281933,1,0
"275","microcebus margotmarshae",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,908454199.027259,1,0
"276","microcebus marohita",5,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,28563033.9498903,1,0
"277","microcebus mittermeieri",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,309878179.327309,1,0
"278","microcebus murinus",1,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,90879446546.1286,1,0
"279","microcebus myoxinus",3,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,31384961302.7052,1,0
"280","microcebus ravelobensis",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,3358903065.60407,1,0
"281","microcebus rufus",3,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,2620157214.6226,1,0
"282","microcebus sambiranensis",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,695264185.935485,1,0
"283","microcebus simmonsi",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,741718947.934899,1,0
"284","microcebus tavaratra",3,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,4159095809.39782,1,0
"285","miopithecus ogouensis",1,"cercopithecidae","gabon",-0.771593168024452,2.45299469157739,0.62179788836353,22.5956376577271,489842998387.781,0.537383335890111,1.6094379124341
"286","miopithecus talapoin",1,"cercopithecidae","republic of congo",-1.05429813176595,2.37256875506031,0.562880340860293,23.7093762036382,392091498878.092,0.523395607801581,0.693147180559945
"287","mirza coquereli",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,49478312360.3876,1,0
"288","mirza zaza",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,9861298766.37588,0.97096860802907,0
"289","nasalis larvatus",4,"cercopithecidae","malaysia",-0.264859807378353,1.82221743729883,0.698978510110002,26.0989318129383,542463827931.818,4.43686885150505e-06,1.09861228866811
"290","nomascus concolor",5,"hylobatidae","vietnam",-0.457956980266197,1.95663197933663,0.658189129603147,27.248350473,26450418046.0795,0.285585957029921,1.09861228866811
"291","nomascus gabriellae",4,"hylobatidae","cambodia",-0.586721810044803,1.93271913898856,0.608982773785427,24.1297702531418,95418662608.0411,0.000582699545522292,1.38629436111989
"292","nomascus hainanus",5,"hylobatidae","china",-0.34,2.01623546577604,0.728,28.2135175312323,165846508.913976,1,0
"293","nomascus leucogenys",5,"hylobatidae","laos",-0.529999490046364,2.01065059507522,0.652192964859875,27.4679936021696,51596466024.0325,0.00140966350765463,1.38629436111989
"294","nomascus nasutus",5,"hylobatidae","vietnam",-0.313443201009309,1.93195428190734,0.704478263751103,27.7582015221415,8351052678.06847,0.379382842724152,0.693147180559945
"295","nomascus siki",4,"hylobatidae","laos",-0.591942282151219,1.95305772265263,0.604965109008831,23.8980217779009,26694234301.5131,0.670713087815039,0.693147180559945
"296","nycticebus bengalensis",3,"lorisidae","myanmar",-0.584793796026621,2.01809397041801,0.625037438008025,26.2797038620126,2058944642884.88,8.45909292207125e-05,2.07944154167984
"297","nycticebus coucang",3,"lorisidae","indonesia",-0.172600624944567,1.83443244639788,0.708364189423471,25.9942543154141,635124084947.55,0.000134825768849681,1.38629436111989
"298","nycticebus javanicus",5,"lorisidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,65055321264.8384,1,0
"299","nycticebus menagensis",3,"lorisidae","philippines",-0.146811249136572,1.79518388701197,0.71019552214539,26.0076681682111,754235718593.648,0.000828863343575991,1.38629436111989
"300","nycticebus pygmaeus",3,"lorisidae","vietnam",-0.463605595173574,1.89007373824363,0.632287889406004,25.310493566171,484484030289.676,0.00694351235380956,1.79175946922805
"301","oreonax flavicauda",5,"atelidae","peru",-0.53,1.79342474854712,0.734,24.6514585824742,27313425111.1961,0.0503471841379905,0
"302","otolemur crassicaudatus",1,"galagidae","south africa",-0.709034399794721,2.36333484611469,0.521612979227101,23.6569130516116,5643838046937.87,0.0346366526714338,2.63905732961526
"303","otolemur garnettii",1,"galagidae","tanzania",-0.557127727860047,2.09605844348849,0.511999516610644,23.5407897281075,530404816222.758,0.00172372360594961,1.38629436111989
"304","pan paniscus",4,"hominidae","republic of congo",-1.04,2.30358459332713,0.591,21.9713779140709,419746114959.773,0.00101538767214012,0
"305","pan troglodytes",4,"hominidae","gabon",-0.959212948114186,2.34764247366748,0.533516084821748,22.6667947776404,2505360254253.81,0.000528562662162235,3.04452243772342
"306","papio anubis",1,"cercopithecidae","burkina faso",-0.902682080883224,2.3415113755092,0.467697823075228,23.6109575055372,7876151005569.04,0.0349208008473534,3.17805383034795
"307","papio cynocephalus",1,"cercopithecidae","zambia",-0.752282098133541,2.24444899309617,0.469059942288738,23.2656623937953,1954470656045.15,0.00430369739057666,2.19722457733622
"308","papio hamadryas",1,"cercopithecidae","saudi arabia",-0.662243704031441,1.89026135559465,0.316603164254632,23.1585761318507,614054742868.583,0.00698198318601345,2.07944154167984
"309","papio kindae",1,"cercopithecidae","zambia",-0.841507510483618,2.42020854760396,0.566274824095177,23.478019155269,2362452488964.74,0.25827607105243,1.94591014905531
"310","papio papio",2,"cercopithecidae","mali",-0.716078785951886,2.25391357963041,0.451857672884766,21.967073970503,444707899099.073,0.0928492346979861,1.94591014905531
"311","papio ursinus",1,"cercopithecidae","south africa",-0.218996324148437,2.44922142047889,0.602999917895667,24.7094738029673,3363749296415.45,0.363631890529291,2.19722457733622
"312","perodicticus edwardsi",1,"lorisidae","central african republic",-1.00815629516824,2.37615414386504,0.573116014876401,23.134080430281,2354076528568.64,0.0420072425433147,1.94591014905531
"313","perodicticus ibeanus",1,"lorisidae","kenya",-0.925725607763136,2.30364417600816,0.574334923285014,22.1068183616525,868046543677.718,7.26223850563713e-05,1.94591014905531
"314","perodicticus potto",1,"lorisidae","kenya",-0.675821400062998,2.27405060436203,0.496777482565634,23.7280671653217,719476112428.372,0.000155614418913687,2.30258509299405
"315","phaner electromontis",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,3299820512.60829,0.363940265503065,0
"316","phaner furcifer",3,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,21056502440.4021,1,0
"317","phaner pallescens",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,48835686742.8746,1,0
"318","phaner parienti",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,1955803113.70329,1,0
